Wall time,Step,Value
1543174171.1232069,0,3166.906982421875
1543174171.336871,1,2459.07275390625
1543174171.5465503,2,2322.46484375
1543174171.761487,3,1840.1923828125
1543174171.974266,4,795.5236206054688
1543174172.1901615,5,650.838134765625
1543174172.393975,6,583.8710327148438
1543174172.6086392,7,594.3902587890625
1543174172.8278105,8,607.2068481445312
1543174173.0497653,9,556.1578979492188
1543174173.2591991,10,557.16650390625
1543174173.4703848,11,519.77587890625
1543174173.679528,12,516.5421752929688
1543174173.896324,13,503.9916076660156
1543174174.1090841,14,494.63299560546875
1543174174.3250713,15,484.1229553222656
1543174174.5336416,16,493.3401184082031
1543174174.7533908,17,473.0492858886719
1543174174.9732854,18,472.00567626953125
1543174175.1735601,19,485.8132019042969
1543174175.376989,20,487.203369140625
1543174175.5848196,21,472.5948181152344
1543174175.7953315,22,463.3086853027344
1543174176.0031564,23,448.4997253417969
1543174176.211554,24,457.532470703125
1543174176.4219167,25,455.7335510253906
1543174176.6345205,26,440.6264953613281
1543174176.855086,27,440.26904296875
1543174177.059347,28,466.3647766113281
1543174177.270285,29,430.4148864746094
1543174177.480162,30,426.86480712890625
1543174177.6847973,31,459.44873046875
1543174177.8954754,32,440.6841735839844
1543174178.1103098,33,415.480712890625
1543174178.3115253,34,425.4495849609375
1543174178.517588,35,423.0919189453125
1543174178.7222087,36,432.4128112792969
1543174178.944319,37,472.7436828613281
1543174179.1612773,38,416.7278137207031
1543174179.369185,39,436.412109375
1543174179.5761776,40,407.0743103027344
1543174179.7966778,41,396.62030029296875
1543174180.0114105,42,415.99139404296875
1543174180.2260547,43,410.3115234375
1543174180.433369,44,408.1937561035156
1543174180.6529255,45,431.88671875
1543174180.8595402,46,406.48388671875
1543174181.0748167,47,387.23431396484375
1543174181.286658,48,387.0412292480469
1543174181.5017056,49,397.8346862792969
1543174181.7155695,50,377.05230712890625
1543174181.9388561,51,387.60687255859375
1543174182.1544812,52,375.6382141113281
1543174182.3682897,53,371.8402404785156
1543174182.5786014,54,380.01519775390625
1543174182.7957332,55,376.0368957519531
1543174183.00355,56,369.173583984375
1543174183.217197,57,407.55084228515625
1543174183.4292138,58,374.773193359375
1543174183.6362305,59,362.8570251464844
1543174183.846524,60,368.17401123046875
1543174184.0522723,61,373.3117980957031
1543174184.2629743,62,367.34857177734375
1543174184.4724076,63,349.61566162109375
1543174184.6792846,64,369.4928283691406
1543174184.8987293,65,348.3293762207031
1543174185.1168108,66,368.5614013671875
1543174185.334393,67,349.10736083984375
1543174185.5280402,68,362.0941467285156
1543174185.732823,69,342.4759521484375
1543174185.9487545,70,379.9821472167969
1543174186.160372,71,339.8317565917969
1543174186.3702583,72,347.669677734375
1543174186.584648,73,327.3309326171875
1543174186.793318,74,366.7060852050781
1543174187.0011034,75,333.4037170410156
1543174187.213815,76,350.43243408203125
1543174187.4236927,77,370.17999267578125
1543174187.6284966,78,336.501708984375
1543174187.836826,79,356.0707092285156
1543174188.063597,80,324.13494873046875
1543174188.276076,81,315.9496154785156
1543174188.4868035,82,309.68719482421875
1543174188.6863756,83,315.8990783691406
