Wall time,Step,Value
1543174171.1231606,0,3166.906982421875
1543174171.3368227,1,2459.07275390625
1543174171.5464962,2,2322.46484375
1543174171.7614365,3,1840.1923828125
1543174171.9742146,4,795.5236206054688
1543174172.1900961,5,650.838134765625
1543174172.3939147,6,583.8710327148438
1543174172.6085799,7,594.3902587890625
1543174172.827761,8,607.2068481445312
1543174173.0497177,9,556.1578979492188
1543174173.2591414,10,557.16650390625
1543174173.470336,11,519.77587890625
1543174173.6794753,12,516.5421752929688
1543174173.8962739,13,503.9916076660156
1543174174.1090233,14,494.63299560546875
1543174174.3250234,15,484.1229553222656
1543174174.5335877,16,493.3401184082031
1543174174.7533407,17,473.0492858886719
1543174174.9732335,18,472.00567626953125
1543174175.173484,19,485.8132019042969
1543174175.3769338,20,487.203369140625
1543174175.5847652,21,472.5948181152344
1543174175.7952888,22,463.3086853027344
1543174176.003111,23,448.4997253417969
1543174176.2114937,24,457.532470703125
1543174176.421859,25,455.7335510253906
1543174176.6344697,26,440.6264953613281
1543174176.8550386,27,440.26904296875
1543174177.0592906,28,466.3647766113281
1543174177.2702246,29,430.4148864746094
1543174177.480118,30,426.86480712890625
1543174177.6847398,31,459.44873046875
1543174177.8954287,32,440.6841735839844
1543174178.1102524,33,415.480712890625
1543174178.3114796,34,425.4495849609375
1543174178.517541,35,423.0919189453125
1543174178.7221637,36,432.4128112792969
1543174178.9442728,37,472.7436828613281
1543174179.1612272,38,416.7278137207031
1543174179.3691106,39,436.412109375
1543174179.5761294,40,407.0743103027344
1543174179.7966063,41,396.62030029296875
1543174180.01136,42,415.99139404296875
1543174180.225999,43,410.3115234375
1543174180.4333205,44,408.1937561035156
1543174180.6528788,45,431.88671875
1543174180.8594875,46,406.48388671875
1543174181.0747619,47,387.23431396484375
1543174181.286606,48,387.0412292480469
1543174181.501658,49,397.8346862792969
1543174181.7155175,50,377.05230712890625
1543174181.938808,51,387.60687255859375
1543174182.1544313,52,375.6382141113281
1543174182.368245,53,371.8402404785156
1543174182.5785358,54,380.01519775390625
1543174182.795689,55,376.0368957519531
1543174183.0034904,56,369.173583984375
1543174183.2171454,57,407.55084228515625
1543174183.429159,58,374.773193359375
1543174183.6361756,59,362.8570251464844
1543174183.84647,60,368.17401123046875
1543174184.052223,61,373.3117980957031
1543174184.2629254,62,367.34857177734375
1543174184.4723532,63,349.61566162109375
1543174184.6792407,64,369.4928283691406
1543174184.8986664,65,348.3293762207031
1543174185.1167598,66,368.5614013671875
1543174185.3343422,67,349.10736083984375
1543174185.527987,68,362.0941467285156
1543174185.7327695,69,342.4759521484375
1543174185.9487078,70,379.9821472167969
1543174186.1603196,71,339.8317565917969
1543174186.370209,72,347.669677734375
1543174186.5845976,73,327.3309326171875
1543174186.793273,74,366.7060852050781
1543174187.0010533,75,333.4037170410156
1543174187.21377,76,350.43243408203125
1543174187.423645,77,370.17999267578125
1543174187.6284473,78,336.501708984375
1543174187.8367705,79,356.0707092285156
1543174188.063546,80,324.13494873046875
1543174188.2760296,81,315.9496154785156
1543174188.4867468,82,309.68719482421875
1543174188.686324,83,315.8990783691406
1543174188.9002728,84,339.2999267578125
1543174189.0975392,85,320.3694763183594
1543174189.3078644,86,339.9588928222656
1543174189.5208478,87,322.5577392578125
1543174189.7436433,88,343.52410888671875
1543174189.9623897,89,309.4689025878906
1543174190.1746812,90,311.766357421875
1543174190.387855,91,307.5470275878906
1543174190.5911455,92,337.10858154296875
1543174190.8041131,93,324.0772399902344
1543174191.0248337,94,303.9335632324219
1543174191.2399154,95,313.91619873046875
1543174191.447395,96,308.8769836425781
1543174191.6528118,97,313.7130126953125
1543174191.8593416,98,324.1216735839844
1543174192.0712368,99,298.81854248046875
1543174192.286824,100,287.2138366699219
1543174192.4929452,101,309.84967041015625
1543174192.695081,102,292.79522705078125
1543174192.906708,103,302.0032043457031
1543174193.1041598,104,297.95989990234375
1543174193.31138,105,298.8270568847656
1543174193.52714,106,350.7262878417969
1543174193.7497587,107,321.72381591796875
1543174193.9540436,108,302.8247985839844
1543174194.1691391,109,310.8252868652344
1543174194.3750832,110,290.8763122558594
1543174194.5857377,111,273.8656921386719
1543174194.7965324,112,289.85223388671875
1543174195.0149136,113,278.42083740234375
1543174195.223323,114,296.4947204589844
1543174195.436941,115,288.2939453125
1543174195.6432188,116,272.51239013671875
1543174195.8538558,117,293.4443054199219
1543174196.0534587,118,276.5404357910156
1543174196.2600331,119,273.7174987792969
1543174196.4648101,120,261.4717102050781
1543174196.6694186,121,284.9225158691406
1543174196.8873925,122,266.86505126953125
1543174197.1019723,123,268.2047119140625
1543174197.3132114,124,278.5457763671875
1543174197.5190074,125,269.336181640625
1543174197.7263882,126,270.5849609375
1543174197.9465926,127,260.1888732910156
1543174198.1648245,128,282.5186767578125
1543174198.383406,129,273.2430114746094
1543174198.5915432,130,261.10772705078125
1543174198.8097942,131,274.8362731933594
1543174199.0251803,132,264.60076904296875
1543174199.2330925,133,266.92742919921875
1543174199.447841,134,275.7402648925781
1543174199.6536982,135,261.01495361328125
1543174199.8685653,136,266.6244201660156
1543174200.0721562,137,256.7192687988281
1543174200.2787106,138,258.5187072753906
1543174200.4914188,139,266.1422424316406
1543174200.7016718,140,263.697509765625
1543174200.9274406,141,255.57435607910156
1543174201.1449373,142,252.79884338378906
1543174201.3663714,143,266.748779296875
1543174201.576015,144,254.83164978027344
1543174201.7971466,145,260.4937438964844
1543174202.0228243,146,263.2445373535156
1543174202.2351213,147,301.919921875
1543174202.4456604,148,256.4529113769531
1543174202.6662672,149,256.9700927734375
1543174202.8768706,150,236.37393188476562
1543174203.0856984,151,240.174072265625
1543174203.2911344,152,256.3439636230469
1543174203.4971085,153,236.20973205566406
1543174203.705811,154,254.8426055908203
1543174203.9306612,155,243.11956787109375
1543174204.1438427,156,256.7828063964844
1543174204.358266,157,254.1534881591797
1543174204.5727603,158,241.51097106933594
1543174204.7858887,159,245.3015594482422
1543174204.9942048,160,232.21961975097656
1543174205.2085235,161,234.848876953125
1543174205.4208572,162,236.9328155517578
1543174205.6314707,163,248.5604248046875
1543174205.8452127,164,236.02601623535156
1543174206.06362,165,231.57891845703125
1543174206.2708595,166,228.18882751464844
1543174206.4831448,167,248.0294647216797
1543174206.6938164,168,234.3138885498047
1543174206.9146762,169,230.7559814453125
1543174207.1237824,170,236.26344299316406
1543174207.344242,171,245.6038360595703
1543174207.5599132,172,246.9136505126953
1543174207.7800837,173,261.9330749511719
1543174207.993115,174,241.1982879638672
1543174208.2004154,175,237.17745971679688
1543174208.4084377,176,235.660400390625
1543174208.6235235,177,224.73541259765625
1543174208.8465424,178,238.8407745361328
1543174209.054355,179,226.8627471923828
1543174209.2647486,180,232.3184051513672
1543174209.4815376,181,236.0657501220703
1543174209.6900153,182,231.0199737548828
1543174209.8924625,183,227.52853393554688
1543174210.1027331,184,219.27670288085938
1543174210.309997,185,253.60484313964844
1543174210.5183334,186,224.71633911132812
1543174210.7382867,187,221.5632781982422
1543174210.9614115,188,209.32408142089844
1543174211.177613,189,227.5068359375
1543174211.387563,190,218.98341369628906
1543174211.598884,191,220.67910766601562
1543174211.8126984,192,228.0278778076172
1543174212.0209985,193,223.798583984375
1543174212.2268665,194,225.85789489746094
1543174212.4385102,195,272.291015625
1543174212.6445854,196,209.3871307373047
1543174212.8573787,197,250.11947631835938
1543174213.0660272,198,222.8902587890625
1543174213.2705994,199,225.67311096191406
